UUID,Category,Address,Latitude,Longitude,Icon,Note,Link
b8ebee69-fa4e-40a9-8547-645528bf6e11,Park Meter,Via Guarenti 13,45.619408,9.21455,parkingmeter.png,"Posizione non verificata",""
bbb73bf9-add5-47d8-8770-595652b03634,Park Meter,Via Tittoni 15,45.621443,9.219235,parkingmeter.png,"",""
c37d71a9-1689-4e29-9e11-585ee4a4f23b,Park Meter,Via Foscolo 31,45.613244,9.204061,parkingmeter.png,"Posizione non verificata",""
c3c99340-ebfc-4704-a23f-47470f557a84,Park Meter,Via Roggia Traversi 8," 45.618627,9.208083",bancomat.png,"Posizione non verificata",""
c40a4899-34f5-4263-934c-393e71d35bab,Park Meter,Via Cesare d'Adda 8,45.616345,9.205495,parkingmeter.png,"Posizione non verificata",""
c6bd2f05-7761-42fe-be67-5f71a059dd81,Park Meter,Via Bixio 14,45.619441,9.220563,parkingmeter.png,"Posizione non verificata",""
c6f49ff4-ba79-4280-bc3b-94a5d110b2e7,Park Meter,Via Matteotti 40,45.616971,9.204994,parkingmeter.png,"Posizione non verificata",""
cc09a6af-18e6-4cc9-acc0-08e03f7103cd,Park Meter,Via Matteotti 15,45.617172,9.205876,parkingmeter.png,"Posizione non verificata",""
e24202cf-9f5a-4819-881e-130fae4f6490,Park Meter,Via Foscolo 17,45.613257,9.204686,parkingmeter.png,"Posizione non verificata",""
e2afe6a9-e80c-415c-b3f6-a2395e21a3d8,Park Meter,Via Filippo da Desio 33,45.622654,9.219573,parkingmeter.png,"Posizione non verificata",""
e51bb2c7-9fb2-455c-8490-d3f56d300655,Park Meter,Via Piazzale Giovanni Paolo II,45.620388,9.208536,bancomat.png,"",""
e73acd22-8805-4f28-8c08-d756c4c98d04,Park Meter,Via Bareggi 15,45.619367,9.220315,parkingmeter.png,"Posizione non verificata",""
e970ba12-76a7-493c-a4c1-e020103c0803,Park Meter,Via Primule 2,45.620489,9.220133,parkingmeter.png,"Posizione non verificata",""
f2059615-9707-4a5b-8d0a-effa695c07f0,Park Meter,Via Dolci 4,45.620103,9.214355,parkingmeter.png,"Posizione non verificata","Posizione non verificata",""
